message,label
Check the quantity of cannabis before sending it out.,1
Please update the marketing strategy and send it out to everyone.,0
Please update the timeline and send it out to everyone.,0
The client requested a revision of the project report by Friday.,0
Confirm that the ecstasy is stored properly and safely.,1
Arrange secure delivery for the cannabis as planned.,1
The next team meeting will focus on project report.,0
We need to handle the narcotics with care during transport.,1
Double-check that the ecstasy is packed correctly.,1
The client requested a revision of the customer service by Friday.,0
The client requested a revision of the marketing strategy by Friday.,0
The next team meeting will focus on annual report.,0
The next team meeting will focus on timeline.,0
The next team meeting will focus on customer service.,0
Please review the updated project report before the meeting.,0
Ensure that the cocaine is kept in a safe place.,1
Review the latest draft of the marketing strategy before our call.,0
Arrange secure delivery for the methamphetamine as planned.,1
Make sure the MDMA is concealed properly for the party.,1
Ensure the methamphetamine is stashed securely before the shipment.,1
The presentation slides need to be updated before the marketing strategy.,0
Make sure the cannabis is concealed properly for the party.,1
We need to handle the methamphetamine with care during transport.,1
Double-check that the cocaine is packed correctly.,1
Ensure that the heroin is kept in a safe place.,1
Double-check that the ecstasy is packed correctly.,1
The client requested a revision of the minutes by Friday.,0
Can you send me the business proposal from the last conference call?,0
Please review the updated business proposal before the meeting.,0
The client requested a revision of the project proposal by Friday.,0
Confirm the cannabis shipment is properly labeled.,1
Confirm the methamphetamine shipment is properly labeled.,1
Arrange secure delivery for the heroin as planned.,1
Ensure that the ecstasy is kept in a safe place.,1
Ensure that the narcotics is kept in a safe place.,1
Can you send me the project report from the last conference call?,0
Arrange secure delivery for the ecstasy as planned.,1
Double-check that the MDMA is packed correctly.,1
Arrange secure delivery for the methamphetamine as planned.,1
Can you send me the minutes from the last conference call?,0
Double-check that the ecstasy is packed correctly.,1
The presentation slides need to be updated before the customer service.,0
We need to handle the cannabis with care during transport.,1
The next team meeting will focus on budget allocation.,0
Let’s schedule a meeting to discuss the annual report.,0
The client requested a revision of the annual report by Friday.,0
Make sure the MDMA is concealed properly for the party.,1
The client requested a revision of the budget allocation by Friday.,0
Please update the timeline and send it out to everyone.,0
The presentation slides need to be updated before the marketing strategy.,0
Check the quantity of heroin before sending it out.,1
Please review the updated marketing strategy before the meeting.,0
We need to handle the heroin with care during transport.,1
The presentation slides need to be updated before the project proposal.,0
The client requested a revision of the timeline by Friday.,0
Confirm the ecstasy shipment is properly labeled.,1
Ensure the narcotics is stashed securely before the shipment.,1
The team will meet to finalize the minutes.,0
Verify that all ecstasy are accounted for before delivery.,1
We need to handle the ecstasy with care during transport.,1
Ensure the cannabis is stashed securely before the shipment.,1
Ensure that the cocaine is kept in a safe place.,1
Please review the updated timeline before the meeting.,0
Arrange secure delivery for the heroin as planned.,1
Review the latest draft of the business proposal before our call.,0
Let’s schedule a meeting to discuss the annual report.,0
Check the quantity of cannabis before sending it out.,1
Verify that all methamphetamine are accounted for before delivery.,1
Can you send me the project proposal from the last conference call?,0
Make sure the methamphetamine is concealed properly for the party.,1
Confirm the cocaine shipment is properly labeled.,1
Make sure the methamphetamine is concealed properly for the party.,1
The team will meet to finalize the timeline.,0
Please update the budget allocation and send it out to everyone.,0
Let’s schedule a meeting to discuss the budget allocation.,0
Ensure that the heroin is kept in a safe place.,1
The presentation slides need to be updated before the marketing strategy.,0
Confirm that the MDMA is stored properly and safely.,1
The team will meet to finalize the marketing strategy.,0
Confirm the heroin shipment is properly labeled.,1
Make sure the cocaine is concealed properly for the party.,1
We need to handle the heroin with care during transport.,1
Let’s schedule a meeting to discuss the minutes.,0
Confirm the cannabis shipment is properly labeled.,1
Confirm the methamphetamine shipment is properly labeled.,1
The client requested a revision of the annual report by Friday.,0
Confirm the MDMA shipment is properly labeled.,1
Can you send me the project report from the last conference call?,0
Arrange secure delivery for the cocaine as planned.,1
Please review the updated marketing strategy before the meeting.,0
We need to handle the narcotics with care during transport.,1
Double-check that the ecstasy is packed correctly.,1
Ensure that the cocaine is kept in a safe place.,1
Arrange secure delivery for the ecstasy as planned.,1
Double-check that the MDMA is packed correctly.,1
Confirm the methamphetamine shipment is properly labeled.,1
Make sure the cannabis is concealed properly for the party.,1
Can you send me the customer service from the last conference call?,0
The client requested a revision of the business proposal by Friday.,0
Verify that all cocaine are accounted for before delivery.,1
Please update the customer service and send it out to everyone.,0
Confirm the MDMA shipment is properly labeled.,1
The next team meeting will focus on marketing strategy.,0
Check the quantity of narcotics before sending it out.,1
Confirm the cocaine shipment is properly labeled.,1
Confirm that the heroin is stored properly and safely.,1
We need to handle the heroin with care during transport.,1
Confirm the cannabis shipment is properly labeled.,1
We need to handle the heroin with care during transport.,1
The client requested a revision of the project proposal by Friday.,0
The client requested a revision of the timeline by Friday.,0
Let’s schedule a meeting to discuss the project proposal.,0
Let’s schedule a meeting to discuss the project report.,0
The team will meet to finalize the marketing strategy.,0
Double-check that the methamphetamine is packed correctly.,1
Can you send me the project proposal from the last conference call?,0
Make sure the narcotics is concealed properly for the party.,1
Check the quantity of methamphetamine before sending it out.,1
Ensure that the ecstasy is kept in a safe place.,1
Verify that all narcotics are accounted for before delivery.,1
Ensure the cocaine is stashed securely before the shipment.,1
Please review the updated marketing strategy before the meeting.,0
Double-check that the narcotics is packed correctly.,1
Confirm that the cannabis is stored properly and safely.,1
We need to handle the narcotics with care during transport.,1
Double-check that the MDMA is packed correctly.,1
We need to handle the cannabis with care during transport.,1
Confirm the MDMA shipment is properly labeled.,1
The client requested a revision of the project report by Friday.,0
Let’s schedule a meeting to discuss the project report.,0
The next team meeting will focus on minutes.,0
The team will meet to finalize the budget allocation.,0
Confirm that the narcotics is stored properly and safely.,1
Arrange secure delivery for the ecstasy as planned.,1
Let’s schedule a meeting to discuss the annual report.,0
Can you send me the timeline from the last conference call?,0
Can you send me the marketing strategy from the last conference call?,0
Verify that all cocaine are accounted for before delivery.,1
We need to handle the ecstasy with care during transport.,1
Make sure the MDMA is concealed properly for the party.,1
Double-check that the ecstasy is packed correctly.,1
The client requested a revision of the budget allocation by Friday.,0
Ensure the heroin is stashed securely before the shipment.,1
Ensure the cocaine is stashed securely before the shipment.,1
Let’s schedule a meeting to discuss the timeline.,0
Confirm that the timeline is ready for the presentation.,0
Confirm that the methamphetamine is stored properly and safely.,1
Please review the updated timeline before the meeting.,0
Ensure that the MDMA is kept in a safe place.,1
We need to handle the methamphetamine with care during transport.,1
Arrange secure delivery for the cocaine as planned.,1
Can you send me the project proposal from the last conference call?,0
The team will meet to finalize the project report.,0
The team will meet to finalize the project proposal.,0
Confirm that the customer service is ready for the presentation.,0
Please update the project proposal and send it out to everyone.,0
The next team meeting will focus on business proposal.,0
Double-check that the narcotics is packed correctly.,1
Ensure the cannabis is stashed securely before the shipment.,1
Please update the project report and send it out to everyone.,0
The client requested a revision of the project proposal by Friday.,0
We need to handle the heroin with care during transport.,1
Let’s schedule a meeting to discuss the budget allocation.,0
Confirm that the budget allocation is ready for the presentation.,0
Double-check that the heroin is packed correctly.,1
Ensure the narcotics is stashed securely before the shipment.,1
Let’s schedule a meeting to discuss the minutes.,0
Ensure the methamphetamine is stashed securely before the shipment.,1
Confirm that the cocaine is stored properly and safely.,1
Double-check that the methamphetamine is packed correctly.,1
Let’s schedule a meeting to discuss the business proposal.,0
Double-check that the heroin is packed correctly.,1
Please review the updated budget allocation before the meeting.,0
Make sure the methamphetamine is concealed properly for the party.,1
Confirm the cannabis shipment is properly labeled.,1
We need to handle the heroin with care during transport.,1
Let’s schedule a meeting to discuss the minutes.,0
We need to handle the narcotics with care during transport.,1
Arrange secure delivery for the cannabis as planned.,1
The next team meeting will focus on minutes.,0
We need to handle the cocaine with care during transport.,1
Confirm that the heroin is stored properly and safely.,1
The presentation slides need to be updated before the annual report.,0
The presentation slides need to be updated before the marketing strategy.,0
The next team meeting will focus on customer service.,0
Please review the updated budget allocation before the meeting.,0
Please review the updated marketing strategy before the meeting.,0
We need to handle the narcotics with care during transport.,1
Please update the budget allocation and send it out to everyone.,0
The next team meeting will focus on budget allocation.,0
The next team meeting will focus on marketing strategy.,0
Check the quantity of heroin before sending it out.,1
Arrange secure delivery for the methamphetamine as planned.,1
Confirm the heroin shipment is properly labeled.,1
Confirm that the ecstasy is stored properly and safely.,1
Please update the minutes and send it out to everyone.,0
Confirm that the annual report is ready for the presentation.,0
Check the quantity of heroin before sending it out.,1
The next team meeting will focus on business proposal.,0
We need to handle the cannabis with care during transport.,1
Review the latest draft of the budget allocation before our call.,0
Ensure that the narcotics is kept in a safe place.,1
The team will meet to finalize the annual report.,0
Ensure that the cocaine is kept in a safe place.,1
Verify that all heroin are accounted for before delivery.,1
Confirm the ecstasy shipment is properly labeled.,1
Arrange secure delivery for the methamphetamine as planned.,1
Confirm that the narcotics is stored properly and safely.,1
Check the quantity of methamphetamine before sending it out.,1
Confirm that the methamphetamine is stored properly and safely.,1
The client requested a revision of the minutes by Friday.,0
The team will meet to finalize the annual report.,0
Confirm that the ecstasy is stored properly and safely.,1
Verify that all heroin are accounted for before delivery.,1
Double-check that the heroin is packed correctly.,1
Review the latest draft of the annual report before our call.,0
The team will meet to finalize the minutes.,0
Ensure that the cannabis is kept in a safe place.,1
The client requested a revision of the customer service by Friday.,0
The next team meeting will focus on minutes.,0
Confirm that the project report is ready for the presentation.,0
Please review the updated minutes before the meeting.,0
Please review the updated marketing strategy before the meeting.,0
Please update the marketing strategy and send it out to everyone.,0
Ensure the narcotics is stashed securely before the shipment.,1
Review the latest draft of the business proposal before our call.,0
Make sure the ecstasy is concealed properly for the party.,1
Confirm that the ecstasy is stored properly and safely.,1
Review the latest draft of the customer service before our call.,0
Double-check that the cocaine is packed correctly.,1
The client requested a revision of the minutes by Friday.,0
Review the latest draft of the annual report before our call.,0
Confirm the narcotics shipment is properly labeled.,1
The presentation slides need to be updated before the minutes.,0
Ensure the cocaine is stashed securely before the shipment.,1
We need to handle the cannabis with care during transport.,1
The next team meeting will focus on customer service.,0
Can you send me the customer service from the last conference call?,0
We need to handle the methamphetamine with care during transport.,1
Let’s schedule a meeting to discuss the minutes.,0
Review the latest draft of the project proposal before our call.,0
The next team meeting will focus on budget allocation.,0
Confirm that the ecstasy is stored properly and safely.,1
Ensure the cocaine is stashed securely before the shipment.,1
The next team meeting will focus on customer service.,0
Let’s schedule a meeting to discuss the project proposal.,0
The team will meet to finalize the business proposal.,0
Confirm that the project proposal is ready for the presentation.,0
The team will meet to finalize the project report.,0
Verify that all ecstasy are accounted for before delivery.,1
The presentation slides need to be updated before the budget allocation.,0
Can you send me the project proposal from the last conference call?,0
The client requested a revision of the business proposal by Friday.,0
Verify that all cannabis are accounted for before delivery.,1
The team will meet to finalize the marketing strategy.,0
Review the latest draft of the customer service before our call.,0
Arrange secure delivery for the cocaine as planned.,1
Confirm the cocaine shipment is properly labeled.,1
The presentation slides need to be updated before the customer service.,0
Ensure the cannabis is stashed securely before the shipment.,1
Make sure the heroin is concealed properly for the party.,1
Let’s schedule a meeting to discuss the customer service.,0
The presentation slides need to be updated before the timeline.,0
Please review the updated marketing strategy before the meeting.,0
The presentation slides need to be updated before the annual report.,0
The team will meet to finalize the project report.,0
We need to handle the MDMA with care during transport.,1
Can you send me the customer service from the last conference call?,0
The client requested a revision of the project proposal by Friday.,0
Can you send me the budget allocation from the last conference call?,0
Confirm that the project report is ready for the presentation.,0
Let’s schedule a meeting to discuss the timeline.,0
Arrange secure delivery for the cannabis as planned.,1
Confirm that the narcotics is stored properly and safely.,1
Please update the budget allocation and send it out to everyone.,0
Confirm that the methamphetamine is stored properly and safely.,1
The presentation slides need to be updated before the business proposal.,0
Arrange secure delivery for the MDMA as planned.,1
Ensure the narcotics is stashed securely before the shipment.,1
The client requested a revision of the project report by Friday.,0
The client requested a revision of the annual report by Friday.,0
Review the latest draft of the project report before our call.,0
The next team meeting will focus on customer service.,0
Please update the budget allocation and send it out to everyone.,0
The client requested a revision of the timeline by Friday.,0
Review the latest draft of the minutes before our call.,0
Verify that all ecstasy are accounted for before delivery.,1
Confirm that the heroin is stored properly and safely.,1
Ensure that the methamphetamine is kept in a safe place.,1
The client requested a revision of the customer service by Friday.,0
Review the latest draft of the customer service before our call.,0
Confirm that the narcotics is stored properly and safely.,1
The client requested a revision of the business proposal by Friday.,0
The presentation slides need to be updated before the timeline.,0
Arrange secure delivery for the heroin as planned.,1
Confirm that the project report is ready for the presentation.,0
Verify that all methamphetamine are accounted for before delivery.,1
Confirm that the cannabis is stored properly and safely.,1
Verify that all cannabis are accounted for before delivery.,1
The team will meet to finalize the timeline.,0
Make sure the MDMA is concealed properly for the party.,1
Can you send me the minutes from the last conference call?,0
Confirm that the annual report is ready for the presentation.,0
Can you send me the project report from the last conference call?,0
Please review the updated marketing strategy before the meeting.,0
Please review the updated minutes before the meeting.,0
Confirm that the ecstasy is stored properly and safely.,1
Confirm that the methamphetamine is stored properly and safely.,1
Can you send me the timeline from the last conference call?,0
Review the latest draft of the customer service before our call.,0
Please review the updated minutes before the meeting.,0
Make sure the cocaine is concealed properly for the party.,1
Confirm that the budget allocation is ready for the presentation.,0
We need to handle the heroin with care during transport.,1
We need to handle the heroin with care during transport.,1
The presentation slides need to be updated before the annual report.,0
Can you send me the project proposal from the last conference call?,0
Let’s schedule a meeting to discuss the minutes.,0
Check the quantity of MDMA before sending it out.,1
The presentation slides need to be updated before the annual report.,0
The client requested a revision of the project report by Friday.,0
The team will meet to finalize the timeline.,0
Ensure that the MDMA is kept in a safe place.,1
Please update the marketing strategy and send it out to everyone.,0
Confirm that the budget allocation is ready for the presentation.,0
Arrange secure delivery for the cocaine as planned.,1
Review the latest draft of the minutes before our call.,0
Double-check that the cannabis is packed correctly.,1
The client requested a revision of the minutes by Friday.,0
Please update the marketing strategy and send it out to everyone.,0
Check the quantity of heroin before sending it out.,1
Arrange secure delivery for the methamphetamine as planned.,1
Arrange secure delivery for the methamphetamine as planned.,1
Make sure the cannabis is concealed properly for the party.,1
Confirm that the ecstasy is stored properly and safely.,1
Confirm the cannabis shipment is properly labeled.,1
Verify that all ecstasy are accounted for before delivery.,1
Arrange secure delivery for the cannabis as planned.,1
Make sure the MDMA is concealed properly for the party.,1
The next team meeting will focus on minutes.,0
Check the quantity of heroin before sending it out.,1
Confirm the methamphetamine shipment is properly labeled.,1
Verify that all narcotics are accounted for before delivery.,1
Double-check that the cannabis is packed correctly.,1
Confirm that the minutes is ready for the presentation.,0
Confirm the cocaine shipment is properly labeled.,1
Please review the updated project proposal before the meeting.,0
Double-check that the cannabis is packed correctly.,1
Verify that all narcotics are accounted for before delivery.,1
Double-check that the cocaine is packed correctly.,1
The team will meet to finalize the project report.,0
Arrange secure delivery for the narcotics as planned.,1
The next team meeting will focus on annual report.,0
Let’s schedule a meeting to discuss the timeline.,0
The next team meeting will focus on budget allocation.,0
The client requested a revision of the marketing strategy by Friday.,0
Check the quantity of methamphetamine before sending it out.,1
The client requested a revision of the minutes by Friday.,0
The team will meet to finalize the marketing strategy.,0
Let’s schedule a meeting to discuss the marketing strategy.,0
Confirm the MDMA shipment is properly labeled.,1
Please review the updated budget allocation before the meeting.,0
The team will meet to finalize the timeline.,0
Double-check that the cannabis is packed correctly.,1
Review the latest draft of the annual report before our call.,0
Please review the updated project proposal before the meeting.,0
Check the quantity of cannabis before sending it out.,1
Review the latest draft of the project proposal before our call.,0
The client requested a revision of the marketing strategy by Friday.,0
The presentation slides need to be updated before the project report.,0
The client requested a revision of the project proposal by Friday.,0
The team will meet to finalize the minutes.,0
Ensure that the cocaine is kept in a safe place.,1
Arrange secure delivery for the heroin as planned.,1
The client requested a revision of the project report by Friday.,0
Please review the updated annual report before the meeting.,0
The next team meeting will focus on annual report.,0
Please review the updated project proposal before the meeting.,0
Let’s schedule a meeting to discuss the annual report.,0
Double-check that the narcotics is packed correctly.,1
Verify that all methamphetamine are accounted for before delivery.,1
Please update the customer service and send it out to everyone.,0
Double-check that the MDMA is packed correctly.,1
Verify that all cocaine are accounted for before delivery.,1
The team will meet to finalize the annual report.,0
Confirm that the budget allocation is ready for the presentation.,0
Ensure the heroin is stashed securely before the shipment.,1
Make sure the heroin is concealed properly for the party.,1
Please review the updated project report before the meeting.,0
Verify that all cocaine are accounted for before delivery.,1
Make sure the heroin is concealed properly for the party.,1
Confirm that the minutes is ready for the presentation.,0
Arrange secure delivery for the MDMA as planned.,1
Ensure that the methamphetamine is kept in a safe place.,1
Can you send me the project report from the last conference call?,0
Can you send me the business proposal from the last conference call?,0
Review the latest draft of the budget allocation before our call.,0
The presentation slides need to be updated before the minutes.,0
The team will meet to finalize the project report.,0
Arrange secure delivery for the cannabis as planned.,1
The client requested a revision of the annual report by Friday.,0
The team will meet to finalize the annual report.,0
Arrange secure delivery for the cannabis as planned.,1
Please review the updated marketing strategy before the meeting.,0
Please update the customer service and send it out to everyone.,0
The team will meet to finalize the marketing strategy.,0
Please update the timeline and send it out to everyone.,0
The presentation slides need to be updated before the minutes.,0
We need to handle the ecstasy with care during transport.,1
The next team meeting will focus on timeline.,0
Confirm the cocaine shipment is properly labeled.,1
Verify that all cannabis are accounted for before delivery.,1
We need to handle the cannabis with care during transport.,1
Check the quantity of narcotics before sending it out.,1
Confirm that the annual report is ready for the presentation.,0
Can you send me the project report from the last conference call?,0
We need to handle the cocaine with care during transport.,1
Please update the customer service and send it out to everyone.,0
Ensure that the cannabis is kept in a safe place.,1
Make sure the MDMA is concealed properly for the party.,1
Make sure the cannabis is concealed properly for the party.,1
